object_name,index,foreign_pkg,foreign_object,foreign_object_class,foreign_src_file,foreign_src_line_start,foreign_src_line_end
GeomErrorbarh,616,ggplot2,GeomErrorbarh,GeomErrorbarh / Geom / ggproto / gg,NA,NA,NA
Range,624,ggplot2,Range,Range / ggproto / gg,NA,NA,NA
GeomText,631,ggplot2,GeomText,GeomText / Geom / ggproto / gg,NA,NA,NA
Layout,647,ggplot2,Layout,Layout / ggproto / gg,NA,NA,NA
GeomPointrange,648,ggplot2,GeomPointrange,GeomPointrange / Geom / ggproto / gg,NA,NA,NA
CoordSf,661,ggplot2,CoordSf,CoordSf / CoordCartesian / Coord / ggproto / gg,NA,NA,NA
GeomBlank,671,ggplot2,GeomBlank,GeomBlank / Geom / ggproto / gg,NA,NA,NA
GeomRect,689,ggplot2,GeomRect,GeomRect / Geom / ggproto / gg,NA,NA,NA
GeomSegment,721,ggplot2,GeomSegment,GeomSegment / Geom / ggproto / gg,NA,NA,NA
CoordCartesian,731,ggplot2,CoordCartesian,CoordCartesian / Coord / ggproto / gg,NA,NA,NA
GeomViolin,737,ggplot2,GeomViolin,GeomViolin / Geom / ggproto / gg,NA,NA,NA
Coord,744,ggplot2,Coord,Coord / ggproto / gg,NA,NA,NA
FacetWrap,755,ggplot2,FacetWrap,FacetWrap / Facet / ggproto / gg,NA,NA,NA
GeomPoint,772,ggplot2,GeomPoint,GeomPoint / Geom / ggproto / gg,NA,NA,NA
Geom,796,ggplot2,Geom,Geom / ggproto / gg,NA,NA,NA
Facet,823,ggplot2,Facet,Facet / ggproto / gg,NA,NA,NA
