target_pkg,object_name,index,object_class,src_file,src_line_start,src_line_end
ggplot2,Stat,414,Stat / ggproto / gg,NA,NA,NA
ggplot2,as_gg_data_frame,415,function,R/utilities.r,445,448
ggplot2,coord_sf,416,function,R/coord-sf.R,415,463
ggplot2,cut_width,417,function,R/utilities-break.r,50,85
ggplot2,mean_se,418,function,R/stat-summary.r,234,239
ggplot2,stairstep,419,function,R/geom-path.r,306,331
ggplot2,guide_gengrob.colorbar,420,function,R/guide-colorbar.r,262,546
ggplot2,r_rescale,421,function,R/coord-polar.r,349,352
ggplot2,GeomTile,422,GeomTile / GeomRect / Geom / ggproto / gg,NA,NA,NA
ggplot2,theme_minimal,423,function,R/theme-defaults.r,394,415
ggplot2,geom_point,424,function,R/geom-point.r,83,102
ggplot2,autoplot.default,425,function,R/autoplot.r,17,20
ggplot2,split_matrix,426,function,R/performance.R,29,34
ggplot2,scale_fill_discrete,427,function,R/scale-hue.r,61,65
ggplot2,resolution,428,function,R/utilities-resolution.r,20,30
ggplot2,is.margin,429,function,R/margins.R,11,13
ggplot2,CoordFixed,430,CoordFixed / CoordCartesian / Coord / ggproto / gg,NA,NA,NA
ggplot2,StatDensity,431,StatDensity / Stat / ggproto / gg,NA,NA,NA
ggplot2,makeContext.dotstackGrob,432,function,R/grob-dotstack.r,27,48
ggplot2,scale_colour_brewer,433,function,R/scale-brewer.r,68,70
ggplot2,ggplot_build,434,function,R/plot-build.r,23,25
ggplot2,id,435,function,R/compat-plyr.R,88,126
ggplot2,GeomBoxplot,436,GeomBoxplot / Geom / ggproto / gg,NA,NA,NA
ggplot2,scale_fill_ordinal,437,function,R/scale-viridis.r,65,73
ggplot2,expand_scale,438,function,R/utilities.r,239,246
ggplot2,GeomLinerange,439,GeomLinerange / Geom / ggproto / gg,NA,NA,NA
ggplot2,ggplot_add.labels,440,function,R/plot-construction.r,113,115
ggplot2,scale_colour_continuous,441,function,R/scale-colour.r,26,34
ggplot2,aes,442,function,R/aes.r,77,81
ggplot2,qplot,443,function,R/quick-plot.r,62,161
ggplot2,scale_colour_datetime,444,function,R/zxx.r,16,30
ggplot2,StatSfCoordinates,445,StatSfCoordinates / Stat / ggproto / gg,NA,NA,NA
